#,BUSINESS NAME,CATEGORY,COUNTRY,CITY,ADDRESS,WEBSITE,EMAIL,PHONE,STATUS,OUTREACH,NOTES
,Concept International Realty,Real estate agency,US,Miami,"55 SE 6th St STE 206, Miami, FL 33131",,N/A,"(786) 329-5690
",,🆕 New Lead,
,MARIN CAPITAL REALTY,Real estate agent,US,Miami,"1000 Brickell Ave, Miami, FL 33131",https://www.marincapitalrealty.com/,info@marincapitalrealty.com,"(786) 912-1911
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Fortune Christie's International Real Estate,Real estate agency,US,Miami,"475 Brickell Ave #204, Miami, FL 33131",http://www.iconbrickell.com/,N/A,"(305) 371-1411
",,🆕 New Lead,
,Maxwelle Real Estate Group,Real estate agency,US,Miami,"333 SE 2nd Ave Suite 3588, Miami, FL 33131",http://maxwelle.com/,info@maxwelle.com,"(305) 830-1000
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Johan Nunez,Real estate agency,US,Miami,"1110 Brickell Ave suite 208, Miami, FL 33131",https://johannunez.com/?utm_source=gbp&utm_medium=organic,N/A,"(305) 776-8703
",,🆕 New Lead,
,Fortune RES LLC,Industrial real estate agency,US,Miami,"801 Brickell Bay Dr APT 1966, Miami, FL 33131",http://www.fortunerealestateservices.com/,N/A,"(305) 587-4200
",,🆕 New Lead,
,David Gonzalez Real Estate,Real estate agent,US,Miami,"2121 SW 3rd Ave 3rd floor, Miami, FL 33129",http://www.davidgonzalezrealestate.com/,N/A,"(305) 747-8171
",,🆕 New Lead,
,AWA Realty,Real estate agency,US,Miami,"1110 Brickell Ave Unit 412, Miami, FL 33131",http://www.awa-realty.com/,N/A,"(305) 979-0032
",,🆕 New Lead,
,Millecento Brickell Real Estate,Real estate agent,US,Miami,"1100 S Miami Ave # 3907, Miami, FL 33130",https://millecentobrickell.com/,N/A,"(786) 236-5128
",,🆕 New Lead,
,Tatiana Costa P.A. | #TheCostaGroup,Real estate agent,US,Miami,"Fortune Christie’s International Real Estate, 1390 Brickell Ave #104, Miami, FL 33131",http://www.costagroupmiami.com/,info@costagroupmiami.com,"(305) 733-8990
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Optimar International Realty : Inés Gómez-Acebo,Real estate agent,US,Miami,"1000 Brickell Ave Ste 100, Miami, FL 33131",http://igarealtygroup.com/,inesga@igaluxhomes.com,"(786) 300-9382
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Affinity International Realty,Real estate agency,US,Miami,"999 Brickell Ave #700, Miami, FL 33131",http://www.affinitymiami.com/,sales@getaffinity.com,"(305) 376-4145
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,KENTIS REALTY,Real estate agency,US,Miami,"777 Brickell Ave #500, Miami, FL 33131",https://www.kentisrealty.com/,dimitrios@kentisrealty.com,"(786) 431-6050
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Steven Vargas and Chloe Vargas,Real estate agency,US,Miami,"325 S Biscayne Blvd #200, Miami, FL 33131",http://stevenvargas.com/,steven@stevenvargas.com,"(786) 683-2938
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,"Dmytro Varavin, P.A.",Real estate agent,US,Miami,"55 SW 9th St, Miami, FL 33130",https://www.varavin.com/,N/A,"(786) 351-4582
",,🆕 New Lead,
,Properties Miami,Real estate agency,US,Miami,"637 SW 3rd St APT 306, Miami, FL 33130",https://propertiesmiami.com/,info@propertiesmiami.com,"(786) 505-4939
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Deconova Real Estate Brickell Miami FL,Real estate agency,US,Miami,"1000 Brickell Ave SUITE 2D-200, Miami, FL 33131",http://www.deconovaflorida.com/,info@deconovaflorida.com,"(786) 581-3100
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Miami One Real Estate,Real estate agent,US,Miami,"1110 Brickell Ave SUITE 805, Miami, FL 33131",http://miamionere.com/,info@miamionere.com,"(954) 990-3150
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Sanmo Realty Inc,Real estate agency,US,Miami,"1395 Brickell Ave STE 800, Miami, FL 33131",http://www.sanmorealty.com/,N/A,"(305) 967-6337
",,🆕 New Lead,
,"Aura Realty, LLC.",Real estate agency,US,Miami,"201 S Biscayne Blvd Suite 2807, Miami, FL 33131",http://auraregroup.com/,N/A,"(786) 730-7509
",,🆕 New Lead,
,International Realty Group,Real estate agency,US,Miami,"1000 Brickell Ave #12A, Miami, FL 33131",http://www.internationalrg.com/,office@internationalrg.com,"(305) 507-5546
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Fortune International Group,Real estate agency,US,Miami,"1300 Brickell Ave, Miami, FL 33131",http://www.fortuneintlgroup.com/,N/A,"(305) 351-1000
",,🆕 New Lead,
,Richard Jimenez - Brokered by eXp Realty,Real estate agency,US,Miami,"66 W Flagler St Suit 900, Miami, FL 33130",http://www.locationlocationnow.com/,N/A,"(305) 495-5751
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,"Natalie Mery, Miami Real Estate Agent",Real estate agent,US,Miami,"398 NE 5th St 13th Floor, Miami, FL 33132",http://www.nataliemeryrealestate.com/,N/A,"(305) 905-9027
",,🆕 New Lead,
,Jose R. Sosa / The Sosa Team Compass,Real estate agency,US,Miami,"770 Claughton Island Dr, Miami, FL 33131",http://www.sosateam.com/,jose.sosa@compass.com,"(786) 556-7672
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,K&M Realty Corporation,Real estate agency,US,Miami,"40 SW 13th St #101, Miami, FL 33130",http://justinfloridahomes.com/,justin.knops@theagencyre.com,"(786) 253-5697
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,ECR Realty,Real estate agency,US,Miami,"1200 Brickell Bay Dr #104b, Miami, FL 33131",http://www.ecrrealtygroup.com/,N/A,"(786) 999-8113
",,🆕 New Lead,
,Liliana Shather Real Estate Broker,Real estate agency,US,Miami,"601 Brickell Key Dr suite 710, Miami, FL 33131",http://shatherrealtygroup.com/,lilianashather@gmail.com,"(786) 306-8679
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,RISE Realty,Commercial real estate agency,US,Miami,"1111 Brickell Ave, Miami, FL 33131",https://riserealty.com/,support@agentfire.com,"(305) 859-1606
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Monteiro International Realty Corp.,Real estate agency,US,Miami,"1110 Brickell Ave STE 404, Miami, FL 33131",http://www.monteirousa.com/,N/A,"(305) 385-6693
",,🆕 New Lead,
,Ximena Rosales Realtor: Xfera Realty Group LLC,Real estate agency,US,Miami,"420 SW 7th St Ste 1111, Miami, FL 33130",https://ximenarosalesrealtor.com/,N/A,"(786) 671-7722
",,🆕 New Lead,
,Binter USA | Real Estate,Real estate consultant,US,Miami,"444 Brickell Ave suite 828, Miami, FL 33131",https://www.binterusa.com/,info@binterusa.com,"(305) 416-3040
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Zip Code Miami Real Estate,Real estate agency,US,Miami,"175 SW 7th St, Miami, FL 33130",,N/A,"(305) 507-5557
",,🆕 New Lead,
,Paraiso.Miami,Real estate agency,,,"501 Northeast 31st Street # Cu-7, Miami, Florida 33137-4216",,N/A,"(305) 206-9426
",,🆕 New Lead,
,Piquet Realty,Real estate agency,US,Miami,"1000 Brickell Ave #1100, Miami, FL 33131",http://www.piquetrealty.com/,president@piquetrealty.com,"(305) 204-1160
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Yaffe International Realty,Real estate agency,,,"19300 West Dixie Highway #7, Miami, FL 33180-2201",,N/A,"(305) 741-0002
",,🆕 New Lead,
,Panoply Co.,Investment company,US,Miami,"175 SW 7th St STE 2201, Miami, FL 33130",http://www.panoplyco.com/,info@panoplyco.com,"(786) 328-6353
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,"Louis Urbina, PA - Realtor Associate at Avanti Way Realty in Miami, FL",Real estate agency,US,Miami,"444 Brickell Ave P32, Miami, FL 33131",http://www.miacitylife.com/,miacitylife.re@gmail.com,"(786) 355-7423
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,"Vertical International Real Estate, LLC",Property management company,US,Miami,"175 SW 7th St STE 2418, Miami, FL 33130",http://verticalbrokers.com/,N/A,"(954) 822-3439
",,🆕 New Lead,
,Sorymar Castillo,Real estate agent,US,Miami,"900 Biscayne Blvd, Miami, FL 33132",http://sorymarcastillo.com/,N/A,"(786) 818-2081
",,🆕 New Lead,
,The Space Brokers,Real estate agency,US,Miami,"333 SE 2nd Ave STE 2000, Miami, FL 33131",,N/A,"(305) 646-9653
",,🆕 New Lead,
,Real Brokers Miami – Real Estate Concierge,Real estate agency,US,Miami,"601 Brickell Key Dr #700, Miami, FL 33131",https://realbrokersmiami.com/,info@realbrokers.miami,"(754) 701-7788
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Globalty Investment,Real estate agency,US,Miami,"78 SW 7th St Suite 800, Miami, FL 33130",https://www.globaltyinvestment.com/,tpichet@globaltyinvestment.com,"(561) 945-4345
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,NB Elite Realty LLC,Real estate agency,US,Miami,"1101 Brickell Ave, Miami, FL 33131",http://nbeliterealty.com/,info@nbeliterealty.com,"(844) 444-6237
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,AF-Realty,Real estate agency,US,Miami,"801 Brickell Ave # 800, Miami, FL 33131",http://www.af-realty.com/,allan@af-realty.com,"(786) 220-2506
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Guy Fernandes | Real Estate Broker,Real estate agent,US,Miami,"1600 SW 1st Ave APT 612, Miami, FL 33129",https://alexandriarealtygroup.com/,Alex@AlexandriaRealtyGroup.com,"(305) 588-9626
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,"Milton Andrade, REALTOR - Compass",Real estate agency,US,Miami,"1655 SW 18th St, Miami, FL 33145",http://www.polarisadvisorsgroup.com/,N/A,"(785) 530-3942
",,🆕 New Lead,
,Rina Rodriguez | Real Estate Agent | Miami | Buy • Sell • Rent • Invest | Bilingual: English & Spanish,Real estate agent,US,Miami,"800 Brickell Ave Suite 525, Miami, FL 33131",https://rinasellsmiami.com/?utm_source=gbp&utm_medium=organic,N/A,"(305) 440-7407
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Avanti Way Realty Brickell,Real estate agency,US,Miami,"444 Brickell Ave Office P32, Miami, FL 33131",https://avantiway.com/brickell/,marceloquiroga@avantiway.com,"(305) 733-9741
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,DREAM LAND GROUP REAL ESTATE,Real estate agency,US,Miami,"1100 Brickell Bay Dr, Miami, FL 33131",https://www.facebook.com/miamirealestateopportunities/,N/A,"(305) 417-5859
",,🆕 New Lead,
,Lauren Hershey - CRR REALTY,Real estate agency,US,Miami,"1200 Brickell Ave Suite #700, Miami, FL 33130",https://www.laurenhershey.com/,laurenhersheyrealtor@gmail.com,"(708) 539-9319
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,,,,,#ERROR!,,,,EMAIL SENT,,
,SF Real Estate. US,Real estate agency,US,Miami,"1110 Brickell Ave, Miami, FL 33131",https://www.sfrealestate.us/,hello@sfrealestate.us,"(786) 443-1449
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,WaterView Global Realty Inc.,Real estate agency,US,Miami,"1200 Brickell Ave Suite 1950, Miami, FL 33131",https://waterviewglobalrealty.com/contacts/,N/A,"(305) 713-7000
",,🆕 New Lead,
,Abner Realty,Real estate agency,US,Miami,"690 SW 1st Ct, Miami, FL 33130",http://www.abnerglobal.com/,N/A,"(305) 222-7513
",,🆕 New Lead,
,The World Realty,Real estate agent,US,Miami,"1221 Brickell Ave, Miami, FL 33131",https://www.aleksandramarzec.com/,alek@aleksandrateam.com,"(305) 760-9121
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Fabulous Miami Properties,Real estate agency,US,Miami,"Latitude on the River, 185 SW 7th St APT 1409, Miami, FL 33130",https://fabulousmiamiproperties.com/,N/A,"(305) 219-2494
",,🆕 New Lead,
,Ecaterina (Katerina) Morosan - EXP Realty,Real estate agency,US,Miami,"80 SW 8th St suite 2000 fl, Miami, FL 33130",http://teamdom50.com/,katerina@teamdom50.com,"(929) 444-8802
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Alvaro García P.A.,Real estate agency,US,Miami,"25 SE 9th St CU-8, Miami, FL 33130",https://vipmiamiproperties.com/,N/A,"(305) 724-5807
",,🆕 New Lead,
,"Pappalardo Real Estate Group at Real Broker, LLC",Real estate agency,US,Raleigh,"7920 ACC Blvd, Raleigh, NC 27617",https://www.buyahouseinraleigh.com/contact-us/,N/A,"(919) 281-3219
",,🆕 New Lead,
,Martina Erdmeier REALTOR®️,Real estate agent,US,Erwin,"3875 Old Stage Rd S, Erwin, NC 28339",https://buyandsellwithmartina.com/,buyandsellwithmartina@gmail.com,"(910) 916-8485
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Ideal Home Realty,Real estate agency,US,Cary,"219 Creststone Dr, Cary, NC 27519",http://idealhomerealty.com/,Accessibility@incomrealestate.com,"(919) 691-7543
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,"Eddie & Julie Boyd, The Boyd Team -Myrtle Beach Realtors at INNOVATE Real Estate",Real estate agency,US,Myrtle Beach,"2542 Heritage Loop, Myrtle Beach, SC 29577",https://www.boydteam.com/,N/A,"(843) 222-8566
",,🆕 New Lead,
,Monarch Realty Co.,Real estate agency,US,Raleigh,"228 Fayetteville St Ste 200, Raleigh, NC 27601",https://monarchrealtyco.com/,info@monarchrealty.co,"(919) 322-1824
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Triangle to Coast Realty eXp | Karen Dupree Williams and Team,Real estate agency,US,Fuquay-Varina,"201 E Academy St Suite 105, Fuquay-Varina, NC 27526",https://triangletocoast.com/?utm_source=gbp&utm_medium=organic,N/A,"(984) 600-0906
",,🆕 New Lead,
,Carolina Flat Fee Realty @ Stu Barnes Real Estate,Real estate agency,US,Holly Springs,"5000 Sunset Walk Ln, Holly Springs, NC 27540",https://carolinaflatfeerealty.com/,stu@stubarnes.com,"(919) 819-3956
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Eaton Real Estate Services,Real estate agency,US,Raleigh,"5712 Dunstan Ct, Raleigh, NC 27613",http://eatonrealestateservices.com/,N/A,"(919) 901-8700
",,🆕 New Lead,
,Karen Trotta - USA Home Agent,Real estate agency,US,Clayton,"501 Gateway Dr #101C, Clayton, NC 27520",,N/A,"(919) 306-7560
",,🆕 New Lead,
,Welcome Home Team at Keller Williams,Real estate agency,US,Fayetteville,"639 Executive Pl STE 100, Fayetteville, NC 28305",http://www.welcomehometeamnc.com/,brian@welcomehometeamnc.com,"(910) 507-7227
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Rich Commercial Realty,Commercial real estate agency,US,Raleigh,"3840 Ed Dr STE 108, Raleigh, NC 27612",http://www.richcommercialrealty.com/,N/A,"(919) 821-7880
",,🆕 New Lead,
,"Realty Dynamics, Inc.",Real estate agency,US,Charlotte,"1009A Westbrook Dr, Charlotte, NC 28202",http://www.charlottehomezone.com/,ncrealtydynamics@gmail.com,"(704) 779-6194
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Straight Up Realty,Real estate agency,US,Pittsboro,"136 West St, Pittsboro, NC 27312",http://www.straightuprealty.com/,N/A,"(919) 545-0154
",,🆕 New Lead,
,"Destiny Real Estate, Inc - Kevin Wester REALTOR and Your CPR Agent - Fayetteville, NC - Residential and Investment",Real estate agency,US,Fayetteville,"2932 Breezewood Ave #214, Fayetteville, NC 28303",http://www.destinyrealestatenc.com/,N/A,"(910) 677-0193
",,🆕 New Lead,
,"Jose Cruz, Commercial Real Estate Agent | Century 21 Triangle Group",Commercial real estate agency,US,Raleigh,"1111 Haynes St, Raleigh, NC 27604",http://www.jclcommercial.com/,info@indiantypefoundry.com,"(984) 239-8452
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Laura Grace & Company REAL ESTATE Fathom Realty NC,Real estate agency,US,Pittsboro,"287 East St Suite 421Q, Pittsboro, NC 27312",https://lauragrace.fathomrealty.com/,lgrace@fathomrealty.com,"(919) 260-8405
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Pittsboro - Eric Andrews Realtor,Real estate agency,US,Pittsboro,"73 Hillsboro St, Pittsboro, NC 27312",https://ericandrewsrealtor.com/,N/A,"(919) 542-0523
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Premier Real Estate,Real estate agency,US,Raleigh,"242 Cameron Dr, Raleigh, NC 27603",https://premierrealestate.pro/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=Google+My+Business,contact@premierrealestate.pro,"(919) 335-5268
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,RED Collective | Durham Real Estate Agents,Real estate agency,US,Durham,"2805 Hope Valley Rd, Durham, NC 27707",http://red-collective.com/,N/A,"
",,🆕 New Lead,
,OnWire Realty | Raleigh - Durham - Triangle Real Estate Company,Real estate agency,US,Raleigh,"4912 Professional Ct, Raleigh, NC 27609",https://www.onwire.us/,N/A,"(919) 714-7311
",,🆕 New Lead,
,1800 Real Estate Inc,Real estate agency,US,Durham,"2310 S Miami Blvd #132, Durham, NC 27703",https://www.1800realestatenc.com/,N/A,"(919) 300-5144
",,🆕 New Lead,
,"RW Realty of NC, LLC - Real Estate Agency - Wendell, NC",Real estate agency,US,Wendell,"208 Wendell Falls Pkwy, Wendell, NC 27591",https://rwrealtync.com/,rebecca@rwrealtync.com,"(919) 330-6833
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Insight Real Estate,Real estate agency,US,Raleigh,"3304 Six Forks Rd, Raleigh, NC 27609",http://www.insightraleigh.com/,hello@insightrealestate.com,"(984) 867-2289
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Mitul Shah - MS Realty LLC,Real estate agent,US,Morrisville,"2919 Historic Cir, Morrisville, NC 27560",http://realestateintriangle.com/,N/A,"(732) 429-4525
",,🆕 New Lead,
,Southern Oaks Realty LLC,Real estate agency,US,New Hill,"4208 Olive Branch Ln, New Hill, NC 27562",https://www.sornc.com/,jfetzer@sornc.com,"(919) 335-8292
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,USA House Buyers NC- Sell My House Fast Durham,Real estate consultant,US,Garner,"2624 Timber Dr #163, Garner, NC 27529",,N/A,"(919) 230-0050
",,🆕 New Lead,
,Giving Tree Realty,Real estate agency,US,Charlotte,"1244 East Blvd, Charlotte, NC 28203",https://givingtreerealty.com/,Brandy@givingtreerealty.com,"(704) 323-8080
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Tidal Realty Partners - Brokered by REAL,Real estate agency,US,Wilmington,"5215 Junction Cir STE 200, Wilmington, NC 28412",http://tidalrealtypartners.com/,info@tidalrealtypartners.com,"(910) 372-6720
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,M & M Team Realty | Real Estate,Real estate agency,US,Cary,"201 Shannon Oaks Cir # 100, Cary, NC 27511",https://www.mandmteamrealty.com/,meredith@mandmteamrealty.com,"(919) 619-3048
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,"Ryan Cassidy, Realtor and General Contractor",Real estate agency,US,Chapel Hill,"318 Cloister Ct, Chapel Hill, NC 27514",https://www.trianglehousehunter.com/,N/A,"(919) 696-4254
",,🆕 New Lead,
,SVN Real Estate Associates,Commercial real estate agency,US,Durham,"3333 Durham-Chapel Hill Blvd C, Durham, NC 27707",http://www.svn-rea.com/,user@domain.com,"(919) 489-2000
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Home Sweet Heidi Realty,Real estate agency,US,Raleigh,"4804 Oakgreen Ct, Raleigh, NC 27612",https://www.homesweetheidi.com/,heidi@homesweetheidi.com,"(919) 946-3292
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,"Aimee & Co. - Brokered by: Real Broker, LLC.",Real estate agency,US,Wilmington,"226 N Front St, Wilmington, NC 28401",http://www.aimeeandco.com/,aimee@aimeeandco.com,"(704) 965-8333
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Mooresville Realty,Real estate agency,US,Mooresville,"132 Joe Knox Ave suite 105 a, Mooresville, NC 28117",http://www.mooresvillerealty.com/,N/A,"(704) 663-0990
",,🆕 New Lead,
,DASH Carolina Real Estate,Real estate agency,US,Raleigh,"4800 Six Forks Rd # 210, Raleigh, NC 27609",https://dashcarolina.com/,info@dashnc.com,"(984) 205-2279
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Patty Herrera Home Team - Litchfield Realty,Real estate agency,US,Fayetteville,"581 Executive Pl Suite 100, Fayetteville, NC 28305",https://www.pattyherrerahometeam.com/,N/A,"(910) 222-3366
",,🆕 New Lead,
,"Claire Pope, Hodge & Kittrell Sotheby's International Realty",Real estate agency,US,Chapel Hill,"140 W Franklin St Suite 130, Chapel Hill, NC 27516",https://www.thebritbroker.com/,N/A,"(919) 530-9415
",,🆕 New Lead,
,Azita Wilson Realty Group,Real estate agency,US,Apex,"1483 Beaver Creek Commons Dr, Apex, NC 27502",https://livingincary.com/?utm_source=gbp&utm_medium=organic,N/A,"(919) 656-1439
",,🆕 New Lead,
,The Real Estate Concierge,Real estate agency,US,Fayetteville,"6200 Ramsey St Suite 100, Fayetteville, NC 28311",https://www.facebook.com/therealestateconciergegroup,N/A,"(910) 813-8192
",,🆕 New Lead,
,220 Agents,Real estate agency,US,Raleigh,"9051 Strickland Rd #200, Raleigh, NC 27615",https://www.220agents.com/t?source_string=google-business-page&page_url=%2F,info@220agents.com,"(919) 229-9144
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Warren Adamson,Real estate agent,US,Durham,"245 NC-54 Ste 101, Durham, NC 27713",https://warrenadamson.com/,N/A,"(919) 260-2260
",,🆕 New Lead,
,Spotlight Realty,Real estate agency,US,Chapel Hill,"101 Glen Lennox Dr Suite 230, Chapel Hill, NC 27517",https://spotlightnc.com/?utm_source=gbp&utm_medium=organic,N/A,"(919) 590-5755
",,🆕 New Lead,
,ESP Realty,Real estate agency,US,Apex,"1480 Chapel Ridge Rd Suite 100, Apex, NC 27502",http://www.esprealtors.com/,N/A,"(919) 205-3388
",,🆕 New Lead,
,Realty of America,Real estate agency,US,Graham,"120 S Main St suite 230, Graham, NC 27253",,N/A,"(336) 437-0708
",,🆕 New Lead,
,"Kima Real Estate Group @ REAL Broker, LLC",Real estate agency,US,Wake Forest,"881 Falcate Dr, Wake Forest, NC 27587",http://welcometocarolina.com/,N/A,"(919) 263-2888
",,🆕 New Lead,
,"Nancy Grace, Realtor",Real estate agency,US,Apex,"225 N Salem St, Apex, NC 27502",https://www.nancygracehomes.com/contact/,nancy@nancygracehomes.com,"(919) 616-4139
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,"Martin J. Burke, Realtor",Real estate agent,US,New Hill,"3654 Horton Hill Dr, New Hill, NC 27562",https://martinjburkerealtor.com/,N/A,"(919) 609-6842
",,🆕 New Lead,
,Hannah Chan - Cary Raleigh Realty,Real estate agency,US,Cary,"901 Kildaire Farm Rd d1, Cary, NC 27511",http://www.caryraleighrealty.com/,N/A,"(919) 426-1854
",,🆕 New Lead,
,Morton Bradbury Real Estate Group,Real estate agency,US,Raleigh,"8450 Falls of Neuse Rd STE 206, Raleigh, NC 27615",http://mortonbradbury.com/,hello@mortonbradbury.com,"(919) 964-0474
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Sanford Surrounded - Brokered By LPT Realty,Real estate agent,US,Sanford,"201 Commercial Ct, Sanford, NC 27330",https://www.sanfordsurrounded.com/,walter@sanfordsurrounded.com,"(919) 261-3163
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Team Armand @ EXP Realty,Real estate agency,US,Chapel Hill,"1340 Environ Way, Chapel Hill, NC 27517",http://www.teamarmand.com/,N/A,"(919) 980-9324
",,🆕 New Lead,
,Sanford Real Estate,Real estate agency,US,Sanford,"304 N Horner Blvd, Sanford, NC 27330",http://www.yoursanfordrealestate.com/,john@sanfordhome.com,"(919) 708-5100
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Linda Trevor & Co.,Real estate agency,US,Cary,"201 Fenton Gtwy Dr Suite 200, Cary, NC 27511",https://www.lindatrevor.com/,Homes@LindaTrevor.com,"(919) 378-1807
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Dreams Made Realty Group,Real estate agency,US,Fayetteville,"123 Anderson St, Fayetteville, NC 28301",http://www.dreamsmaderealty.com/,crystal@dreamsmaderealty.com,"(910) 500-3220
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,"Laura Morgan Homes, Powered by Compass",Real estate agent,US,Chapel Hill,"101 Glen Lennox Dr Suite 230, Chapel Hill, NC 27514",https://lauramorganhomes.com/,N/A,"(919) 624-4946
",,🆕 New Lead,
,Northside Realty Inc,Real estate agency,US,Raleigh,"4701 Creedmoor Rd #105, Raleigh, NC 27612",https://www.northside-realty.com/,information@northsiderealty.biz,"(919) 784-0101
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,The Gentry Team - Real Estate,Real estate agency,US,Pinehurst,"5 Chinquapin Rd, Pinehurst, NC 28374",https://thegentryteam.com/?utm_source=gbp&utm_medium=organic,N/A,"(910) 295-7100
",,🆕 New Lead,
,"Seth Roberts, Real Estate Broker",Commercial real estate agency,US,Apex,"2323 Manzoni Dr, Apex, NC 27502",http://sethroberts.bhhscarolinas.com/,N/A,"(919) 632-7384
",,🆕 New Lead,
,HomePro USA Realty,Real estate agency,US,Fayetteville,"417 Hilliard Dr, Fayetteville, NC 28311",https://www.homeprousarealty.com/,N/A,"(910) 864-5500
",,🆕 New Lead,
,Roberta Faria - Real Estate Agent,Real estate agent,US,Cary,"2128 High House Rd, Cary, NC 27519",http://robertarealestateagent.com/,N/A,"(919) 353-7005
",,🆕 New Lead,
,AM REALTY GROUP,Real estate agency,US,Raleigh,"4700 Homewood Ct, Raleigh, NC 27609",http://www.amrealtygroupllc.com/,"user@domain.com, ahmed@amrealtygroup.org","(910) 474-3626
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
,Inhabit Real Estate LLC,Real estate agency,US,Durham,"131 W Orange St Suite #200, Durham, NC 27701",https://inhabitthetriangle.com/,connie@inhabitthetriangle.com,"(919) 808-4549
",,🆕 New Lead,
,,,,,#ERROR!,,,,EMAIL SENT,,
